Code ISBN / EAN;IdAuteur;Titre;Prix vente;Stock initial
1000000000001;1;Tote bag BD'ART;5;100
9782487138193;2;Elias&Arthur - Aventures en pagaille;15;17
9782957957989;2;Elias&Arthur - L'intégrale T1;20;9
9782487138186;2;Elias&Arthur - Peur sur la ville;20;10
2000000000001;2;Elias&Arthur - 10 ans d'aventures - Luxe;50;4
9780201379624;2;Chasse à l'homme;20;18
9782957957910;2;Elias: Le jumeau maléfique;15;5
9782956508458;2;Elias: Perdu dans les couloirs du temps;15;4
9782378623456;9;Beurk beurk beurk;13,5;4
9782378623487;9;Beurk beurk beurk (Gros caract.);16;1
9782916662657;9;Prise de bec;13;5
9791095316091;9;5 oiseaux dans le nid;8,9;4
9782818997383;9;Merit & Ouati: Le taureau d'Avaris;15,9;13
9791041106714;9;Merit & Ouati: La main d'Isis;15,9;7
9791096106868;9;Lili à Paris;10,9;10
9791095316527;9;Bonbons et chocolats;11,9;3
9782490506200;9;Lola princesse rebelle;12,9;7
9791095316992;9;Antoinette & Quimangetout: Mission Londres;13,9;5
9791095316879;9;Antoinette & Quimangetout;13,9;5
9791095316404;9;Loup y est tu ?;11,9;7
9791095316336;9;Ouistiti;11,9;5
9782916662985;9;Panique à la ferme;12;2
9791095316886;9;Bon débarras;6,9;5
9791095316787;9;4 pattes pour un squelette;6,5;5
5000000000001;5;Fais des bêtises avec Choupie;6;4
9782358820011;5;Les inventions de la vie moderne;10;4
9782490591817;5;Apprends moi le dessin - BD humoristique 1;13,8;12
9782382110058;5;Apprends moi le dessin - BD humoristique 2;14,8;8
9782382110270;5;Apprends-moi le dessin - Manga;14,8;12
9782382111710;5;Apprends moi le dessin - Les toons;18,9;5
9782957706303;5;Une année pour mieux manger T1;15;5
9782957706310;5;Une année pour mieux manger T2;15;8
9782952251631;5;J'apprends la BD - Les Comics;10;5
9782382110003;5;Les recettes de Petronille;16;11
9782956903604;5;Bande de microbes;11;10
9782358820226;5;Choupie est de sortie;11;10
9782970131267;11;Sans tabous ni trompettes;18;10
9782954009216;11;En vrac T1;18;10
9782954009285;11;En vrac T2;18;10
9781234567897;11;En vrac T3;18;10
9782954009278;11;Oups;15;10
9782954009247;11;Carnets de chez moi;22;10
9782954009292;11;Tous à ses trousses;18;10
9782954009254;11;Tout fout le camp;15;10
9782954009230;11;Suicides de ménage - L'intégrale;25;10
9782953669145;6;La p'tite bête du Gévaudan ;8;21
9782953669152;6;La p'tite bête du Gévaudan 2;8;20
9782953669169;6;La p'tite bête du Gévaudan 3;8;20
9782953669138;6;Le bête du Gévaudan - Intégralement bête;13;20
1010000000001;10;Soutanes noires et jeunes démons;30;19
9782952794305;10;Les aventuriers de l'architecture;9,5;30
9782953910308;3;La petite Judith - L'atelier BD;6;5
9782953910322;3;La petite Judith - La BD à colorier;8;5
9782953910339;3;La petite Judith - Judith donne l'alerte;8;5
9782953910360;3;La petite Judith - Judith apprend la couture;8;5
9782953910353;3;Mister Kat - Tu t'es vu quand j'ai bu;8;5
9782953910346;3;Mister Kat - Retour de cuite;8;5
9782953910377;3;Mister Kat - Gueule de bois;8;5
9782953910384;3;Mister Kat - Chroniques humoristiques;13;5
9782917443033;4;NUAGE T1 Le don de la nature;15;15
9782917443040;4;NUAGE T2 Le bois sacré;15;7
9782917443057;4;NUAGE T3 Au pays des hommes léopards;15;7
9782917443064;4;NUAGE T3 Version luxe;20;4
9782917443019;4;Mirabelle T5 Sur la route des vacances;14,95;3
9782917443002;4;Ondine et la cérémonie des fées;16,5;5
9782917443071;4;Lune bleue;15;3
9782493343390;4;Insurgés;16;12
9782956281665;12;Résurrection;10,95;20
9782956281641;12;Magni;9,45;34
9782956281634;12;Vali;9,45;30
9782956281627;12;Hode;9,45;32
9782956281696;12;My magical girlfriend;15;30
9782956281689;12;Tombés au combat;22;20
9782956281658;12;Lifth & Lif;9,45;34
9782958295882;12;Les cris du coeur;9,45;30
9782957788620;7;Pérou;10;10
9782358820271;7;Aventures trop stylées;9,5;20
9782957788613;7;L'âne et le renne du Père Noël;15;15
9782957788637;7;Le souffle de la fugue;25;8
9782957788699;7;Coco la coccinelle;10;20
9782957788606;7;Les oreilles de Vichy;12;20
9782957788644;7;Le voleur d'oeufs;12;20
9782957788651;7;La poule qui voulait se marier;15;20
9782956772835;7;Ceci n'est pas un déchet;15;10
9782953500745;8;Chrono Games tome 1;10;5
9782953500721;8;Ça PIIINCE !!! Sans rire ?;10;10
9782953500738;8;Germaine la vache tome 1;10;7
9782953500714;8;Germaine la vache tome 2;10;7
9782953500707;8;L’Avenir de Pronto;10;5
9782958260705;13;Les gastéropotes - Tome 1 : Tous au potager !;15;10
9782958260712;13;Les gastéropotes - Tome 2 : Salades de saisons;15;10
9782958260729;13;Les gastéropotes - Tome 3 : Tout va trop vite;15;10
9782958260736;13;Les gastéropotes - Tome 4 : Au ras des pâquerettes;15;10
9782958260743;13;Les gastéropotes - Tome 5 : Se mettent au vert ;15;10
9782958260750;13;Les gastéropotes - Tome 6 : Le Pied sur le Champignon;15;10
9782958260774;13;Les gastéropotes - Tome 7 : Super-lents ;15;10
9782958260767;13;Les gastéropotes- Florilèges - Tome 1;10;10
9782958260781;13;Les gastéropotes- Florilèges - Tome 2;10;10
