Code Isbn/Ean;IdAuteur;Titre;Prix vente;Stock initial;Vendu librairie;Vendu médiat.;Offert;Stock final;A facturer;Total vendu;Prix total;Nom auteur;Pourcentage;Part auteur;Part librairie
1000000000001;1;Tote bag BD'ART;5;100;6;0;0;94;0;6;30;Association BDART;100;30;0;
1010000000001;10;Soutanes noires et jeunes démons;30;19;13;0;0;6;0;13;390;Biard Jean-François;90;351;39;
2000000000001;2;Elias&Arthur - 10 ans d'aventures - Luxe;50;4;3;0;0;1;0;3;150;Aimès Sylvain;75;112,5;37,5;
5000000000001;5;Fais des bêtises avec Choupie;6;4;2;0;0;2;0;2;12;Brocard Philippe;90;10,8;1,2;
9780201379624;2;Chasse à l'homme;20;18;17;0;0;1;0;17;340;Aimès Sylvain;75;255;85;
9781234567897;11;En vrac T3;18;10;3;0;0;7;0;3;54;Ivars Eric;90;48,6;5,4;
9782358820011;5;Les inventions de la vie moderne;10;4;0;0;0;4;0;0;0;Brocard Philippe;90;0;0;
9782358820226;5;Choupie est de sortie;11;10;1;0;0;9;0;1;11;Brocard Philippe;90;9,9;1,1;
9782358820271;7;Aventures trop stylées;9,5;20;2;0;0;18;0;2;19;Grenouiller Laureline;90;17,1;1,9;
9782378623456;9;Beurk beurk beurk;13,5;4;3;0;0;1;0;3;40,5;Janer Nathalie;90;36,45;4,05;
9782378623487;9;Beurk beurk beurk (Gros caract.);16;1;1;0;0;0;0;1;16;Janer Nathalie;90;14,4;1,6;
9782382110003;5;Les recettes de Petronille;16;11;4;0;0;7;0;4;64;Brocard Philippe;90;57,6;6,4;
9782382110058;5;Apprends moi le dessin - BD humoristique 2;14,8;8;2;0;0;6;0;2;29,6;Brocard Philippe;90;26,64;2,96;
9782382110270;5;Apprends-moi le dessin - Manga;14,8;12;2;0;0;10;0;2;29,6;Brocard Philippe;90;26,64;2,96;
9782382111710;5;Apprends moi le dessin - Les toons;18,9;5;3;0;0;2;0;3;56,7;Brocard Philippe;90;51,03;5,67;
9782487138186;2;Elias&Arthur - Peur sur la ville;20;10;4;0;0;6;0;4;80;Aimès Sylvain;75;60;20;
9782487138193;2;Elias&Arthur - Aventures en pagaille;15;17;9;0;0;8;0;9;135;Aimès Sylvain;75;101,25;33,75;
9782490506200;9;Lola princesse rebelle;12,9;7;4;0;0;3;0;4;51,6;Janer Nathalie;90;46,44;5,16;
9782490591817;5;Apprends moi le dessin - BD humoristique 1;13,8;12;3;0;0;9;0;3;41,4;Brocard Philippe;90;37,26;4,14;
9782493343390;4;Insurgés;16;12;9;0;0;3;0;9;144;Peultier Christian;90;129,6;14,4;
9782818997383;9;Merit & Ouati: Le taureau d'Avaris;15,9;13;3;0;0;10;0;3;47,7;Janer Nathalie;90;42,93;4,77;
